INTENSIDAD,TENSION,T1,T2,SOC
-31.9972076,3.20988785,39.54526,38.29775,89.37321429
-31.9972076,3.10185397,38.07292,36.82681,32.85339778
-31.9972076,3.10063325,38.06105,36.83868,32.83130325
-31.99951171,3.14427405,38.0848,36.82681,49.40108726
0,2.88059815,41.68252,40.27877,-1.0764e-12
32.00181582,3.32066835,39.85397,38.47569,10.05297841
-31.9972076,3.18730449,39.27216,37.91815,80.20577184
32.00181582,3.56511788,40.86324,39.51958,95.80762584
31.99951171,3.41863127,39.23654,37.8707,39.3734236
0,3.34203098,40.25768,38.85528,99.54068733
0,2.92484932,41.1957,39.828,0.213405069
31.99951171,3.46318761,39.98458,38.66549,74.25472458
31.99951171,3.49217975,40.49515,39.13998,86.74834126
-31.99951171,3.21934844,39.71149,38.26216,93.87845252
0,2.92057679,41.32631,39.93476,0.213405069
0,3.35515373,41.00572,39.6382,99.54068733
-31.99951171,3.19157702,39.24842,37.84698,81.30533517
31.99490349,3.43205921,39.23654,37.94188,48.00451796
32.00181582,3.49706264,40.50702,39.21115,87.53193837
-31.99490349,3.05027848,38.7141,37.41993,18.37530448
32.00181582,3.44090944,39.35528,38.10795,55.42464462
32.00181582,3.51598383,40.67326,39.41282,91.72687961
31.99951171,3.48332952,40.43578,39.08067,83.93145223
-31.9972076,3.15678645,38.32227,36.99289,57.50506422
32.00181582,3.37499046,39.45027,38.1554,23.03838234
31.99951171,3.44731823,39.48589,38.26216,60.15320119
-31.99951171,3.06645304,38.54787,37.242,21.55470849
31.9972076,3.24864576,40.49515,39.05694,4.710731765
-31.99490349,3.13786526,38.01355,36.81495,46.49979752
31.99951171,3.37254902,39.55713,38.21471,22.82214409
31.99951171,3.40856031,39.22467,37.89443,33.27900621
31.99951171,3.50225071,40.5189,39.08067,88.76156537
32.00181582,3.43572137,39.20092,37.95374,49.83870582
0,2.9422446,41.25507,39.99407,0.696165579
-31.9972076,3.20103761,39.37902,38.04864,85.3916199
31.9972076,3.47203784,40.17456,38.79597,78.7058111
-31.9972076,3.19127184,39.27216,37.84698,80.95408421
-31.99951171,3.06340124,38.536,37.31317,20.73931778
-31.99951171,3.18822004,39.17717,37.89443,79.75477235
-32.00181582,3.01426719,38.96345,37.74022,13.30437877
